idMonitoramento;porcentagem;dataHora;fkComponente;fkMaquina;fkPlanoEmpresa;fkTipoMaquina;fkEmpresaMaquina
1;72.4;28/11/2023 15:27;3;1;1;1;1
2;73;28/11/2023 15:27;3;1;1;1;1
3;74.6;28/11/2023 15:27;3;1;1;1;1
4;76.8;28/11/2023 15:27;3;1;1;1;1
5;77.3;28/11/2023 15:27;3;1;1;1;1
6;78.6;28/11/2023 15:27;3;1;1;1;1
7;79.5;28/11/2023 15:27;3;1;1;1;1
8;80.1;28/11/2023 15:27;3;1;1;1;1
9;81;28/11/2023 15:27;3;1;1;1;1
10;80.5;28/11/2023 15:27;3;1;1;1;1
11;80.4;28/11/2023 15:27;3;1;1;1;1
12;80.9;28/11/2023 15:27;3;1;1;1;1
13;81.6;28/11/2023 15:27;3;1;1;1;1
14;82.4;28/11/2023 15:28;3;1;1;1;1
15;82.9;28/11/2023 15:28;3;1;1;1;1
16;84.2;28/11/2023 15:28;3;1;1;1;1
17;85.9;28/11/2023 15:28;3;1;1;1;1
18;88;28/11/2023 15:28;3;1;1;1;1
19;87.8;28/11/2023 15:28;3;1;1;1;1
20;87;28/11/2023 15:28;3;1;1;1;1
21;86.8;28/11/2023 15:28;3;1;1;1;1
22;88;28/11/2023 15:28;3;1;1;1;1
23;87.3;28/11/2023 15:28;3;1;1;1;1
24;87.4;28/11/2023 15:28;3;1;1;1;1
25;87.7;28/11/2023 15:28;3;1;1;1;1
26;88.8;28/11/2023 15:28;3;1;1;1;1
27;88.4;28/11/2023 15:28;3;1;1;1;1
28;88.2;28/11/2023 15:28;3;1;1;1;1
29;88.3;28/11/2023 15:28;3;1;1;1;1
30;89.8;28/11/2023 15:28;3;1;1;1;1
31;90.4;28/11/2023 15:28;3;1;1;1;1
32;90.7;28/11/2023 15:29;3;1;1;1;1
33;91;28/11/2023 15:29;3;1;1;1;1
34;91.6;28/11/2023 15:29;3;1;1;1;1
35;91.8;28/11/2023 15:29;3;1;1;1;1
36;91.7;28/11/2023 15:29;3;1;1;1;1
37;91.8;28/11/2023 15:29;3;1;1;1;1
38;92;28/11/2023 15:29;3;1;1;1;1
39;92.5;28/11/2023 15:29;3;1;1;1;1
40;93;28/11/2023 15:29;3;1;1;1;1
41;93.7;28/11/2023 15:29;3;1;1;1;1
42;94.5;28/11/2023 15:29;3;1;1;1;1
43;93.8;28/11/2023 15:29;3;1;1;1;1
44;93.2;28/11/2023 15:29;3;1;1;1;1
45;93.4;28/11/2023 15:29;3;1;1;1;1
46;93.8;28/11/2023 15:29;3;1;1;1;1
47;94.1;28/11/2023 15:29;3;1;1;1;1
48;94.1;28/11/2023 15:29;3;1;1;1;1
49;94.4;28/11/2023 15:30;3;1;1;1;1
50;94.6;28/11/2023 15:30;3;1;1;1;1
51;94.3;28/11/2023 15:30;3;1;1;1;1
52;94.4;28/11/2023 15:30;3;1;1;1;1
53;93.8;28/11/2023 15:30;3;1;1;1;1
54;94.5;28/11/2023 15:30;3;1;1;1;1
55;93.6;28/11/2023 15:30;3;1;1;1;1
56;94;28/11/2023 15:30;3;1;1;1;1
57;94.3;28/11/2023 15:30;3;1;1;1;1
58;93.7;28/11/2023 15:30;3;1;1;1;1
59;93.3;28/11/2023 15:30;3;1;1;1;1
60;93;28/11/2023 15:30;3;1;1;1;1
61;93.1;28/11/2023 15:30;3;1;1;1;1
62;93.4;28/11/2023 15:30;3;1;1;1;1
63;93.6;28/11/2023 15:30;3;1;1;1;1
64;93.9;28/11/2023 15:30;3;1;1;1;1
65;93.9;28/11/2023 15:30;3;1;1;1;1
66;93.9;28/11/2023 15:30;3;1;1;1;1
67;93.7;28/11/2023 15:30;3;1;1;1;1
68;93.9;28/11/2023 15:30;3;1;1;1;1
69;93.8;28/11/2023 15:30;3;1;1;1;1
70;93.6;28/11/2023 15:30;3;1;1;1;1
71;93.7;28/11/2023 15:30;3;1;1;1;1
72;93.6;28/11/2023 15:30;3;1;1;1;1
73;93.6;28/11/2023 15:30;3;1;1;1;1
74;93.7;28/11/2023 15:30;3;1;1;1;1
75;93.7;28/11/2023 15:31;3;1;1;1;1
76;93.5;28/11/2023 15:31;3;1;1;1;1
77;93.3;28/11/2023 15:31;3;1;1;1;1
78;93.3;28/11/2023 15:31;3;1;1;1;1
79;93.1;28/11/2023 15:31;3;1;1;1;1
80;93.3;28/11/2023 15:31;3;1;1;1;1
81;93.1;28/11/2023 15:31;3;1;1;1;1
82;93.3;28/11/2023 15:31;3;1;1;1;1
83;93;28/11/2023 15:31;3;1;1;1;1
84;92.9;28/11/2023 15:31;3;1;1;1;1
85;92.9;28/11/2023 15:31;3;1;1;1;1
86;92.8;28/11/2023 15:31;3;1;1;1;1
87;92.9;28/11/2023 15:31;3;1;1;1;1
88;92.9;28/11/2023 15:31;3;1;1;1;1
89;93;28/11/2023 15:31;3;1;1;1;1
90;93;28/11/2023 15:31;3;1;1;1;1
91;93.3;28/11/2023 15:31;3;1;1;1;1
92;93;28/11/2023 15:31;3;1;1;1;1
93;92.7;28/11/2023 15:31;3;1;1;1;1
94;92.8;28/11/2023 15:31;3;1;1;1;1
95;92.5;28/11/2023 15:31;3;1;1;1;1
96;92.6;28/11/2023 15:31;3;1;1;1;1
97;92.5;28/11/2023 15:31;3;1;1;1;1
98;92.5;28/11/2023 15:31;3;1;1;1;1
99;92.4;28/11/2023 15:31;3;1;1;1;1
100;92.3;28/11/2023 15:31;3;1;1;1;1
101;91.7;28/11/2023 15:31;3;1;1;1;1
102;91.7;28/11/2023 15:32;3;1;1;1;1
103;92;28/11/2023 15:32;3;1;1;1;1
104;91.9;28/11/2023 15:32;3;1;1;1;1
105;91.8;28/11/2023 15:32;3;1;1;1;1
106;91.6;28/11/2023 15:32;3;1;1;1;1
107;91.8;28/11/2023 15:32;3;1;1;1;1
108;92.2;28/11/2023 15:32;3;1;1;1;1
109;91.9;28/11/2023 15:32;3;1;1;1;1
110;92;28/11/2023 15:32;3;1;1;1;1
111;91.8;28/11/2023 15:32;3;1;1;1;1
112;92.8;28/11/2023 15:32;3;1;1;1;1
113;91.9;28/11/2023 15:32;3;1;1;1;1
114;93.2;28/11/2023 15:32;3;1;1;1;1
115;93.3;28/11/2023 15:32;3;1;1;1;1
116;93.9;28/11/2023 15:32;3;1;1;1;1
117;92.1;28/11/2023 15:32;3;1;1;1;1
118;93;28/11/2023 15:32;3;1;1;1;1
119;93.1;28/11/2023 15:32;3;1;1;1;1
120;93.4;28/11/2023 15:32;3;1;1;1;1
121;94.2;28/11/2023 15:32;3;1;1;1;1
122;94.2;28/11/2023 15:32;3;1;1;1;1
123;93.8;28/11/2023 15:32;3;1;1;1;1
124;93.6;28/11/2023 15:32;3;1;1;1;1
125;93.4;28/11/2023 15:32;3;1;1;1;1
126;93.4;28/11/2023 15:32;3;1;1;1;1
127;93.6;28/11/2023 15:33;3;1;1;1;1
128;93.9;28/11/2023 15:33;3;1;1;1;1
129;95.1;28/11/2023 15:33;3;1;1;1;1
130;94.8;28/11/2023 15:33;3;1;1;1;1
131;93.9;28/11/2023 15:33;3;1;1;1;1
132;94.1;28/11/2023 15:33;3;1;1;1;1
133;93.9;28/11/2023 15:33;3;1;1;1;1
134;93.5;28/11/2023 15:33;3;1;1;1;1
135;92.2;28/11/2023 15:33;3;1;1;1;1
136;94.7;28/11/2023 15:33;3;1;1;1;1
137;91.7;28/11/2023 15:33;3;1;1;1;1
138;92.2;28/11/2023 15:33;3;1;1;1;1
139;92.5;28/11/2023 15:33;3;1;1;1;1
140;93.7;28/11/2023 15:33;3;1;1;1;1
141;93.7;28/11/2023 15:33;3;1;1;1;1
142;93.8;28/11/2023 15:34;3;1;1;1;1
143;94;28/11/2023 15:34;3;1;1;1;1
144;94;28/11/2023 15:34;3;1;1;1;1
145;94.1;28/11/2023 15:34;3;1;1;1;1
146;94.1;28/11/2023 15:34;3;1;1;1;1
147;93.7;28/11/2023 15:34;3;1;1;1;1
148;93.7;28/11/2023 15:34;3;1;1;1;1
149;93.7;28/11/2023 15:34;3;1;1;1;1
150;93.7;28/11/2023 15:34;3;1;1;1;1
151;94;28/11/2023 15:34;3;1;1;1;1
152;93.9;28/11/2023 15:34;3;1;1;1;1
153;93.8;28/11/2023 15:34;3;1;1;1;1
154;93.7;28/11/2023 15:34;3;1;1;1;1
155;93.7;28/11/2023 15:34;3;1;1;1;1
156;93.4;28/11/2023 15:34;3;1;1;1;1
157;93.5;28/11/2023 15:34;3;1;1;1;1
158;93.6;28/11/2023 15:34;3;1;1;1;1
159;93.6;28/11/2023 15:34;3;1;1;1;1
160;93.3;28/11/2023 15:34;3;1;1;1;1
161;93.8;28/11/2023 15:34;3;1;1;1;1
162;93.7;28/11/2023 15:34;3;1;1;1;1
163;93.5;28/11/2023 15:34;3;1;1;1;1
164;93.5;28/11/2023 15:34;3;1;1;1;1
165;93.3;28/11/2023 15:35;3;1;1;1;1
166;93.2;28/11/2023 15:35;3;1;1;1;1
167;93;28/11/2023 15:35;3;1;1;1;1
168;92.9;28/11/2023 15:35;3;1;1;1;1
169;92.8;28/11/2023 15:35;3;1;1;1;1
170;92.8;28/11/2023 15:35;3;1;1;1;1
171;92.9;28/11/2023 15:35;3;1;1;1;1
172;92.7;28/11/2023 15:35;3;1;1;1;1
173;92.8;28/11/2023 15:35;3;1;1;1;1
174;92.9;28/11/2023 15:35;3;1;1;1;1
175;92.9;28/11/2023 15:35;3;1;1;1;1
176;92.9;28/11/2023 15:35;3;1;1;1;1
177;92.8;28/11/2023 15:35;3;1;1;1;1
178;92.8;28/11/2023 15:35;3;1;1;1;1
179;93;28/11/2023 15:35;3;1;1;1;1
180;93.2;28/11/2023 15:35;3;1;1;1;1
181;92.8;28/11/2023 15:35;3;1;1;1;1
182;92.8;28/11/2023 15:35;3;1;1;1;1
183;92.5;28/11/2023 15:35;3;1;1;1;1
184;92.5;28/11/2023 15:35;3;1;1;1;1
185;92.4;28/11/2023 15:35;3;1;1;1;1
186;92.5;28/11/2023 15:35;3;1;1;1;1
187;92.9;28/11/2023 15:35;3;1;1;1;1
188;92.8;28/11/2023 15:35;3;1;1;1;1
189;93.1;28/11/2023 15:35;3;1;1;1;1
190;93.2;28/11/2023 15:35;3;1;1;1;1
191;93.3;28/11/2023 15:36;3;1;1;1;1
192;93.3;28/11/2023 15:36;3;1;1;1;1
193;93.6;28/11/2023 15:36;3;1;1;1;1
194;93.4;28/11/2023 15:36;3;1;1;1;1
195;93.6;28/11/2023 15:36;3;1;1;1;1
196;93.4;28/11/2023 15:36;3;1;1;1;1
197;93.4;28/11/2023 15:36;3;1;1;1;1
198;94.1;28/11/2023 15:36;3;1;1;1;1
199;94;28/11/2023 15:36;3;1;1;1;1
200;93.4;28/11/2023 15:36;3;1;1;1;1
201;93.7;28/11/2023 15:36;3;1;1;1;1
202;93.2;28/11/2023 15:36;3;1;1;1;1
203;93.2;28/11/2023 15:36;3;1;1;1;1
204;93.3;28/11/2023 15:36;3;1;1;1;1
205;92.9;28/11/2023 15:36;3;1;1;1;1
206;93.3;28/11/2023 15:36;3;1;1;1;1
207;93.3;28/11/2023 15:36;3;1;1;1;1
208;93.5;28/11/2023 15:36;3;1;1;1;1
209;93.3;28/11/2023 15:36;3;1;1;1;1
210;93.1;28/11/2023 15:36;3;1;1;1;1
211;93.4;28/11/2023 15:36;3;1;1;1;1
212;93.5;28/11/2023 15:36;3;1;1;1;1
213;93.7;28/11/2023 15:36;3;1;1;1;1
214;93.6;28/11/2023 15:36;3;1;1;1;1
215;93.7;28/11/2023 15:36;3;1;1;1;1
216;93.4;28/11/2023 15:36;3;1;1;1;1
217;93.2;28/11/2023 15:37;3;1;1;1;1
218;93.2;28/11/2023 15:37;3;1;1;1;1
219;93.3;28/11/2023 15:37;3;1;1;1;1
220;93.4;28/11/2023 15:37;3;1;1;1;1
221;93.6;28/11/2023 15:37;3;1;1;1;1
222;93.8;28/11/2023 15:37;3;1;1;1;1
223;93.6;28/11/2023 15:37;3;1;1;1;1
224;93.9;28/11/2023 15:37;3;1;1;1;1
225;93.6;28/11/2023 15:37;3;1;1;1;1
226;93.7;28/11/2023 15:37;3;1;1;1;1
227;93.5;28/11/2023 15:37;3;1;1;1;1
228;93.8;28/11/2023 15:37;3;1;1;1;1
229;94.1;28/11/2023 15:37;3;1;1;1;1
230;94.1;28/11/2023 15:37;3;1;1;1;1
231;94.6;28/11/2023 15:37;3;1;1;1;1
232;94.4;28/11/2023 15:37;3;1;1;1;1
233;94.3;28/11/2023 15:37;3;1;1;1;1
234;94;28/11/2023 15:37;3;1;1;1;1
235;93.8;28/11/2023 15:37;3;1;1;1;1
236;93.6;28/11/2023 15:37;3;1;1;1;1
237;92.3;28/11/2023 15:37;3;1;1;1;1
238;92.6;28/11/2023 15:37;3;1;1;1;1
239;92.5;28/11/2023 15:37;3;1;1;1;1
240;92.7;28/11/2023 15:37;3;1;1;1;1
241;92.9;28/11/2023 15:38;3;1;1;1;1
242;93;28/11/2023 15:38;3;1;1;1;1
243;93.2;28/11/2023 15:38;3;1;1;1;1
244;93.1;28/11/2023 15:38;3;1;1;1;1
245;93.1;28/11/2023 15:38;3;1;1;1;1
246;93.2;28/11/2023 15:38;3;1;1;1;1
247;93.4;28/11/2023 15:38;3;1;1;1;1
248;94.8;28/11/2023 15:38;3;1;1;1;1
249;93.8;28/11/2023 15:38;3;1;1;1;1
250;93.7;28/11/2023 15:38;3;1;1;1;1
251;93.4;28/11/2023 15:38;3;1;1;1;1
252;93.5;28/11/2023 15:38;3;1;1;1;1
253;93.3;28/11/2023 15:38;3;1;1;1;1
