idMonitoramento;porcentagem;dataHora;fkComponente;fkMaquina;fkPlanoEmpresa;fkTipoMaquina;fkEmpresaMaquina;
1;61.4;28/11/2023 14:30;3;1;1;1;1;
2;61.5;28/11/2023 14:30;3;1;1;1;1;
3;61.5;28/11/2023 14:30;3;1;1;1;1;
4;61.4;28/11/2023 14:30;3;1;1;1;1;
5;61.4;28/11/2023 14:30;3;1;1;1;1;
6;61.4;28/11/2023 14:30;3;1;1;1;1;
7;61.3;28/11/2023 14:30;3;1;1;1;1;
8;61.3;28/11/2023 14:30;3;1;1;1;1;
9;61.3;28/11/2023 14:30;3;1;1;1;1;
10;61.3;28/11/2023 14:30;3;1;1;1;1;
11;61.3;28/11/2023 14:30;3;1;1;1;1;
12;61.7;28/11/2023 14:30;3;1;1;1;1;
13;61.7;28/11/2023 14:30;3;1;1;1;1;
14;61.7;28/11/2023 14:30;3;1;1;1;1;
15;61.7;28/11/2023 14:30;3;1;1;1;1;
16;61.4;28/11/2023 14:30;3;1;1;1;1;
17;61.4;28/11/2023 14:30;3;1;1;1;1;
18;61.4;28/11/2023 14:30;3;1;1;1;1;
19;60.8;28/11/2023 14:30;3;1;1;1;1;
20;61.4;28/11/2023 14:30;3;1;1;1;1;
21;61.5;28/11/2023 14:30;3;1;1;1;1;
22;61.4;28/11/2023 14:30;3;1;1;1;1;
23;61.4;28/11/2023 14:30;3;1;1;1;1;
24;61.4;28/11/2023 14:30;3;1;1;1;1;
25;61.4;28/11/2023 14:31;3;1;1;1;1;
26;61.4;28/11/2023 14:31;3;1;1;1;1;
27;61.3;28/11/2023 14:31;3;1;1;1;1;
28;61.3;28/11/2023 14:31;3;1;1;1;1;
29;61.3;28/11/2023 14:31;3;1;1;1;1;
30;61.3;28/11/2023 14:31;3;1;1;1;1;
31;61.2;28/11/2023 14:31;3;1;1;1;1;
32;61.2;28/11/2023 14:31;3;1;1;1;1;
33;61.2;28/11/2023 14:31;3;1;1;1;1;
34;61.2;28/11/2023 14:31;3;1;1;1;1;
35;61.2;28/11/2023 14:31;3;1;1;1;1;
36;61.2;28/11/2023 14:31;3;1;1;1;1;
37;61.2;28/11/2023 14:31;3;1;1;1;1;
38;61.2;28/11/2023 14:31;3;1;1;1;1;
39;61.2;28/11/2023 14:31;3;1;1;1;1;
40;61.2;28/11/2023 14:31;3;1;1;1;1;
41;61.2;28/11/2023 14:31;3;1;1;1;1;
42;61.2;28/11/2023 14:31;3;1;1;1;1;
43;61.2;28/11/2023 14:31;3;1;1;1;1;
44;61.2;28/11/2023 14:31;3;1;1;1;1;
45;61.2;28/11/2023 14:31;3;1;1;1;1;
46;61.3;28/11/2023 14:31;3;1;1;1;1;
47;61.3;28/11/2023 14:31;3;1;1;1;1;
48;61.3;28/11/2023 14:31;3;1;1;1;1;
49;61.3;28/11/2023 14:31;3;1;1;1;1;
50;61.3;28/11/2023 14:31;3;1;1;1;1;
51;61.3;28/11/2023 14:31;3;1;1;1;1;
52;61.3;28/11/2023 14:31;3;1;1;1;1;
53;61.3;28/11/2023 14:32;3;1;1;1;1;
54;61.4;28/11/2023 14:32;3;1;1;1;1;
55;61.4;28/11/2023 14:32;3;1;1;1;1;
56;61.4;28/11/2023 14:32;3;1;1;1;1;
57;61.4;28/11/2023 14:32;3;1;1;1;1;
58;61.4;28/11/2023 14:32;3;1;1;1;1;
59;61.4;28/11/2023 14:32;3;1;1;1;1;
60;61.4;28/11/2023 14:32;3;1;1;1;1;
61;61.4;28/11/2023 14:32;3;1;1;1;1;
62;61.4;28/11/2023 14:32;3;1;1;1;1;
63;61.4;28/11/2023 14:32;3;1;1;1;1;
64;61.4;28/11/2023 14:32;3;1;1;1;1;
65;61.4;28/11/2023 14:32;3;1;1;1;1;
66;61.4;28/11/2023 14:32;3;1;1;1;1;
67;61.4;28/11/2023 14:32;3;1;1;1;1;
68;61.4;28/11/2023 14:32;3;1;1;1;1;
69;61.4;28/11/2023 14:32;3;1;1;1;1;
70;61.4;28/11/2023 14:32;3;1;1;1;1;
71;61.1;28/11/2023 14:32;3;1;1;1;1;
72;61.4;28/11/2023 14:32;3;1;1;1;1;
73;61.2;28/11/2023 14:32;3;1;1;1;1;
74;61.2;28/11/2023 14:32;3;1;1;1;1;
75;61.4;28/11/2023 14:32;3;1;1;1;1;
76;61.2;28/11/2023 14:32;3;1;1;1;1;
77;61.2;28/11/2023 14:32;3;1;1;1;1;
78;61.2;28/11/2023 14:32;3;1;1;1;1;
79;61.2;28/11/2023 14:32;3;1;1;1;1;
80;61.2;28/11/2023 14:32;3;1;1;1;1;
81;61.2;28/11/2023 14:33;3;1;1;1;1;
82;61.4;28/11/2023 14:33;3;1;1;1;1;
83;61.2;28/11/2023 14:33;3;1;1;1;1;
84;61.2;28/11/2023 14:33;3;1;1;1;1;
85;60.9;28/11/2023 14:33;3;1;1;1;1;
86;61.1;28/11/2023 14:33;3;1;1;1;1;
87;61;28/11/2023 14:33;3;1;1;1;1;
88;61.6;28/11/2023 14:33;3;1;1;1;1;
89;61.8;28/11/2023 14:33;3;1;1;1;1;
90;61.8;28/11/2023 14:33;3;1;1;1;1;
91;61.8;28/11/2023 14:33;3;1;1;1;1;
92;61.6;28/11/2023 14:33;3;1;1;1;1;
93;61.6;28/11/2023 14:33;3;1;1;1;1;
94;61.7;28/11/2023 14:33;3;1;1;1;1;
95;61.7;28/11/2023 14:33;3;1;1;1;1;
96;61.1;28/11/2023 14:33;3;1;1;1;1;
97;61.1;28/11/2023 14:33;3;1;1;1;1;
98;61.1;28/11/2023 14:33;3;1;1;1;1;
99;61.1;28/11/2023 14:33;3;1;1;1;1;
100;61.1;28/11/2023 14:33;3;1;1;1;1;
101;61;28/11/2023 14:33;3;1;1;1;1;
102;60.9;28/11/2023 14:33;3;1;1;1;1;
103;60.6;28/11/2023 14:33;3;1;1;1;1;
104;60.6;28/11/2023 14:33;3;1;1;1;1;
105;60.5;28/11/2023 14:33;3;1;1;1;1;
106;60.5;28/11/2023 14:33;3;1;1;1;1;
107;60.5;28/11/2023 14:33;3;1;1;1;1;
108;60.5;28/11/2023 14:34;3;1;1;1;1;
109;60.5;28/11/2023 14:34;3;1;1;1;1;
110;60.5;28/11/2023 14:34;3;1;1;1;1;
111;60.5;28/11/2023 14:34;3;1;1;1;1;
112;60.5;28/11/2023 14:34;3;1;1;1;1;
113;60.5;28/11/2023 14:34;3;1;1;1;1;
114;60.5;28/11/2023 14:34;3;1;1;1;1;
115;60.7;28/11/2023 14:34;3;1;1;1;1;
116;60.7;28/11/2023 14:34;3;1;1;1;1;
117;60.7;28/11/2023 14:34;3;1;1;1;1;
118;60.7;28/11/2023 14:34;3;1;1;1;1;
119;60.7;28/11/2023 14:34;3;1;1;1;1;
120;60.6;28/11/2023 14:34;3;1;1;1;1;
121;60.7;28/11/2023 14:34;3;1;1;1;1;
122;60.6;28/11/2023 14:34;3;1;1;1;1;
123;60.5;28/11/2023 14:34;3;1;1;1;1;
124;60.5;28/11/2023 14:34;3;1;1;1;1;
125;60.5;28/11/2023 14:34;3;1;1;1;1;
126;60.5;28/11/2023 14:34;3;1;1;1;1;
127;60.5;28/11/2023 14:34;3;1;1;1;1;
128;60.5;28/11/2023 14:34;3;1;1;1;1;
129;60.5;28/11/2023 14:34;3;1;1;1;1;
130;60.5;28/11/2023 14:34;3;1;1;1;1;
131;60.5;28/11/2023 14:34;3;1;1;1;1;
132;60.5;28/11/2023 14:34;3;1;1;1;1;
133;60.8;28/11/2023 14:34;3;1;1;1;1;
134;60.7;28/11/2023 14:34;3;1;1;1;1;
135;60.7;28/11/2023 14:34;3;1;1;1;1;
136;60.7;28/11/2023 14:35;3;1;1;1;1;
137;60.7;28/11/2023 14:35;3;1;1;1;1;
138;60.7;28/11/2023 14:35;3;1;1;1;1;
139;60.7;28/11/2023 14:35;3;1;1;1;1;
140;60.6;28/11/2023 14:35;3;1;1;1;1;
141;60.7;28/11/2023 14:35;3;1;1;1;1;
142;60.8;28/11/2023 14:35;3;1;1;1;1;
143;60.7;28/11/2023 14:35;3;1;1;1;1;
144;60.7;28/11/2023 14:35;3;1;1;1;1;
145;60.9;28/11/2023 14:35;3;1;1;1;1;
146;59.6;28/11/2023 14:35;3;1;1;1;1;
147;59.6;28/11/2023 14:35;3;1;1;1;1;
148;59.8;28/11/2023 14:35;3;1;1;1;1;
149;59.8;28/11/2023 14:35;3;1;1;1;1;
150;60.2;28/11/2023 14:35;3;1;1;1;1;
151;60.3;28/11/2023 14:35;3;1;1;1;1;
152;60.3;28/11/2023 14:35;3;1;1;1;1;
153;60.1;28/11/2023 14:35;3;1;1;1;1;
154;60.1;28/11/2023 14:35;3;1;1;1;1;
155;60.1;28/11/2023 14:35;3;1;1;1;1;
156;60.1;28/11/2023 14:35;3;1;1;1;1;
157;60;28/11/2023 14:35;3;1;1;1;1;
158;60;28/11/2023 14:35;3;1;1;1;1;
159;60.1;28/11/2023 14:35;3;1;1;1;1;
160;60.1;28/11/2023 14:35;3;1;1;1;1;
161;60;28/11/2023 14:35;3;1;1;1;1;
162;60;28/11/2023 14:35;3;1;1;1;1;
163;60;28/11/2023 14:36;3;1;1;1;1;
164;59.7;28/11/2023 14:36;3;1;1;1;1;
165;59.7;28/11/2023 14:36;3;1;1;1;1;
166;59.7;28/11/2023 14:36;3;1;1;1;1;
167;59.7;28/11/2023 14:36;3;1;1;1;1;
168;59.7;28/11/2023 14:36;3;1;1;1;1;
169;59.7;28/11/2023 14:36;3;1;1;1;1;
170;59.7;28/11/2023 14:36;3;1;1;1;1;
171;59.7;28/11/2023 14:36;3;1;1;1;1;
172;59.7;28/11/2023 14:36;3;1;1;1;1;
173;59.7;28/11/2023 14:36;3;1;1;1;1;
174;59.7;28/11/2023 14:36;3;1;1;1;1;
175;59.7;28/11/2023 14:36;3;1;1;1;1;
176;59.7;28/11/2023 14:36;3;1;1;1;1;
177;59.9;28/11/2023 14:36;3;1;1;1;1;
178;59.9;28/11/2023 14:36;3;1;1;1;1;
179;59.8;28/11/2023 14:36;3;1;1;1;1;
180;59.7;28/11/2023 14:36;3;1;1;1;1;
181;59.7;28/11/2023 14:36;3;1;1;1;1;
182;59.7;28/11/2023 14:36;3;1;1;1;1;
183;59.7;28/11/2023 14:36;3;1;1;1;1;
184;59.7;28/11/2023 14:36;3;1;1;1;1;
185;59.7;28/11/2023 14:36;3;1;1;1;1;
186;59.7;28/11/2023 14:36;3;1;1;1;1;
187;59.7;28/11/2023 14:36;3;1;1;1;1;
188;59.7;28/11/2023 14:36;3;1;1;1;1;
189;59.7;28/11/2023 14:36;3;1;1;1;1;
190;59.7;28/11/2023 14:36;3;1;1;1;1;
191;59.7;28/11/2023 14:37;3;1;1;1;1;
192;59.7;28/11/2023 14:37;3;1;1;1;1;
193;59.7;28/11/2023 14:37;3;1;1;1;1;
194;59.7;28/11/2023 14:37;3;1;1;1;1;
195;59.5;28/11/2023 14:37;3;1;1;1;1;
196;59.8;28/11/2023 14:37;3;1;1;1;1;
197;59.8;28/11/2023 14:37;3;1;1;1;1;
198;59.8;28/11/2023 14:37;3;1;1;1;1;
199;59.8;28/11/2023 14:37;3;1;1;1;1;
200;59.7;28/11/2023 14:37;3;1;1;1;1;
201;59.7;28/11/2023 14:37;3;1;1;1;1;
202;59.7;28/11/2023 14:37;3;1;1;1;1;
203;59.7;28/11/2023 14:37;3;1;1;1;1;
204;59.7;28/11/2023 14:37;3;1;1;1;1;
205;59.7;28/11/2023 14:37;3;1;1;1;1;
206;58.9;28/11/2023 14:37;3;1;1;1;1;
207;59;28/11/2023 14:37;3;1;1;1;1;
208;59;28/11/2023 14:37;3;1;1;1;1;
209;59;28/11/2023 14:37;3;1;1;1;1;
210;59;28/11/2023 14:37;3;1;1;1;1;
211;58.9;28/11/2023 14:37;3;1;1;1;1;
212;59;28/11/2023 14:37;3;1;1;1;1;
213;59;28/11/2023 14:37;3;1;1;1;1;
214;59;28/11/2023 14:37;3;1;1;1;1;
215;59;28/11/2023 14:37;3;1;1;1;1;
216;58.9;28/11/2023 14:37;3;1;1;1;1;
217;58.9;28/11/2023 14:37;3;1;1;1;1;
218;58.9;28/11/2023 14:38;3;1;1;1;1;
219;59;28/11/2023 14:38;3;1;1;1;1;
220;58.9;28/11/2023 14:38;3;1;1;1;1;
221;58.9;28/11/2023 14:38;3;1;1;1;1;
222;59;28/11/2023 14:38;3;1;1;1;1;
223;59;28/11/2023 14:38;3;1;1;1;1;
224;58.9;28/11/2023 14:38;3;1;1;1;1;
225;59.5;28/11/2023 14:38;3;1;1;1;1;
226;59.5;28/11/2023 14:38;3;1;1;1;1;
227;59.5;28/11/2023 14:38;3;1;1;1;1;
228;59.5;28/11/2023 14:38;3;1;1;1;1;
229;59.5;28/11/2023 14:38;3;1;1;1;1;
230;59.5;28/11/2023 14:38;3;1;1;1;1;
231;59.5;28/11/2023 14:38;3;1;1;1;1;
232;59.4;28/11/2023 14:38;3;1;1;1;1;
233;59.4;28/11/2023 14:38;3;1;1;1;1;
234;59.4;28/11/2023 14:38;3;1;1;1;1;
235;59.4;28/11/2023 14:38;3;1;1;1;1;
236;59.4;28/11/2023 14:38;3;1;1;1;1;
237;59.5;28/11/2023 14:38;3;1;1;1;1;
238;59.5;28/11/2023 14:38;3;1;1;1;1;
239;59.2;28/11/2023 14:38;3;1;1;1;1;
240;59.4;28/11/2023 14:38;3;1;1;1;1;
241;59.4;28/11/2023 14:38;3;1;1;1;1;
242;59.2;28/11/2023 14:38;3;1;1;1;1;
243;59.2;28/11/2023 14:38;3;1;1;1;1;
244;59.2;28/11/2023 14:38;3;1;1;1;1;
245;59.2;28/11/2023 14:38;3;1;1;1;1;
246;59.1;28/11/2023 14:39;3;1;1;1;1;
247;59.2;28/11/2023 14:39;3;1;1;1;1;
248;59.7;28/11/2023 14:39;3;1;1;1;1;
249;59.7;28/11/2023 14:39;3;1;1;1;1;
250;59.9;28/11/2023 14:39;3;1;1;1;1;
251;60;28/11/2023 14:39;3;1;1;1;1;
252;59.7;28/11/2023 14:39;3;1;1;1;1;
253;59.6;28/11/2023 14:39;3;1;1;1;1;
